champ_id,apiname,name,hp,hpperlevel,mp,mpperlevel,movespeed,armor,armorperlevel,spellblock,spellblockperlevel,attackrange,hpregen,hpregenperlevel,mpregen,mpregenperlevel,crit,critperlevel,attackdamage,attackdamageperlevel,attackspeedperlevel,attackspeed,cc_score,engage_score,peel_score,zone_control_score,magic_ratio,phys_ratio,tankiness,meta_strength
136,AurelionSol,Aurelion Sol,600,90,530,40.0,335,22,4.0,30,1.3,550,5.5,0.55,8.0,0.75,0,0,58,3.2,1.5,0.625,1.0,0.0,1.0,2.0,1.0,0.0,1.64,0.0
893,Aurora,Aurora,607,110,475,30.0,335,23,4.5,32,1.3,550,6.0,0.55,8.0,0.8,0,0,53,3.0,2.0,0.668,0.0,2.0,0.0,1.0,1.0,0.0,1.707,0.0
268,Azir,Azir,575,119,320,40.0,330,25,5.0,30,1.3,525,7.0,0.75,8.0,0.8,0,0,56,3.5,5.0,0.625,0.0,1.0,1.0,0.0,1.0,0.0,1.675,0.0
432,Bard,Bard,630,103,350,50.0,335,34,5.0,30,1.3,500,5.5,0.55,6.0,0.45,0,0,52,3.0,2.0,0.658,1.0,0.0,1.0,0.0,0.5,0.5,1.91,0.0
200,Belveth,Bel'Veth,610,99,60,0.0,340,32,4.7,32,2.05,150,6.0,0.6,0.0,0.0,0,0,60,1.5,0.0,0.85,1.0,1.0,2.0,0.0,0.5,0.5,1.89,0.0
53,Blitzcrank,Blitzcrank,600,109,267,40.0,325,37,4.7,32,2.05,125,7.5,0.75,8.5,0.8,0,0,62,3.5,1.13,0.625,0.0,0.0,1.0,0.0,0.5,0.5,1.98,0.0
63,Brand,Brand,570,105,469,21.0,340,27,4.2,30,1.3,550,5.5,0.55,9.0,0.6,0,0,57,3.0,2.0,0.681,1.0,0.0,0.0,1.0,1.0,0.0,1.71,0.0
201,Braum,Braum,610,112,311,45.0,335,35,5.0,32,2.05,125,8.5,1.0,7.0,0.8,0,0,55,3.2,3.5,0.644,0.0,1.0,2.0,0.0,0.5,0.5,1.95,0.0
233,Briar,Briar,625,95,0,0.0,340,30,4.2,32,2.05,125,0.0,0.0,0.0,0.0,0,0,60,2.5,2.0,0.644,2.0,2.0,2.0,1.0,1.0,0.0,1.865,0.0
51,Caitlyn,Caitlyn,580,107,315,40.0,325,27,4.7,30,1.3,650,3.5,0.55,7.4,0.7,0,0,62,3.8,4.0,0.681,0.0,0.0,0.0,0.0,1.0,0.0,1.72,0.0
164,Camille,Camille,650,99,339,52.0,340,35,4.5,32,2.05,125,8.5,0.8,8.15,0.75,0,0,68,3.8,2.5,0.644,0.0,2.0,1.0,1.0,0.5,0.5,1.99,0.0
69,Cassiopeia,Cassiopeia,630,104,450,40.0,328,18,4.7,32,1.3,550,5.5,0.5,8.0,0.8,0,0,53,3.0,1.5,0.647,1.0,0.0,1.0,1.0,1.0,0.0,1.63,0.0
31,Chogath,Cho'Gath,644,94,270,60.0,345,38,4.5,32,2.05,125,9.0,0.85,7.2,0.45,0,0,69,4.2,1.44,0.658,0.0,0.0,1.0,0.0,0.5,0.5,2.044,0.0
42,Corki,Corki,610,100,350,40.0,325,27,4.5,30,1.3,550,5.5,0.55,7.4,0.7,0,0,52,2.0,2.8,0.644,0.0,0.0,0.0,2.0,1.0,0.0,1.75,0.0
122,Darius,Darius,652,114,263,58.0,340,37,5.2,32,2.05,175,10.0,0.95,6.6,0.35,0,0,64,5.0,1.0,0.625,0.0,1.0,1.0,0.0,0.5,0.5,2.032,0.0
131,Diana,Diana,640,109,375,25.0,345,31,4.3,32,2.05,150,6.5,0.85,8.0,0.8,0,0,57,3.0,2.0,0.625,0.0,1.0,1.0,2.0,1.0,0.0,1.9,0.0
119,Draven,Draven,675,104,361,39.0,330,29,4.5,30,1.3,550,3.75,0.7,8.05,0.65,0,0,62,3.6,2.7,0.679,0.0,0.0,1.0,0.0,1.0,0.0,1.855,0.0
36,DrMundo,Dr. Mundo,640,103,0,0.0,345,32,3.7,29,2.3,125,7.0,0.5,0.0,0.0,0,0,61,2.5,3.3,0.67,0.0,0.0,4.0,0.0,0.5,0.5,1.86,0.0
245,Ekko,Ekko,655,99,280,70.0,340,32,4.2,32,2.05,125,9.0,0.9,7.0,0.8,0,0,58,3.0,3.3,0.688,1.0,0.0,2.0,2.0,0.5,0.5,1.935,0.0
60,Elise,Elise,620,109,324,50.0,330,30,4.5,30,1.3,550,5.5,0.6,6.0,0.8,0,0,55,3.0,1.75,0.625,1.0,0.0,2.0,0.0,0.5,0.5,1.82,0.0
28,Evelynn,Evelynn,642,98,315,42.0,335,37,4.7,32,2.05,125,8.5,0.75,8.11,0.6,0,0,61,3.0,2.1,0.667,0.0,0.0,0.0,1.0,0.5,0.5,2.022,0.0
81,Ezreal,Ezreal,600,102,375,70.0,325,24,4.2,30,1.3,550,4.0,0.65,8.5,1.0,0,0,60,2.75,2.5,0.625,0.0,0.0,0.0,0.0,1.0,0.0,1.68,0.0
9,Fiddlesticks,Fiddlesticks,650,106,500,28.0,335,34,4.7,30,1.3,480,5.5,0.6,8.0,0.8,0,0,55,2.65,2.11,0.625,0.0,0.0,1.0,2.0,0.5,0.5,1.93,0.0
114,Fiora,Fiora,620,99,300,60.0,345,33,4.7,32,2.05,150,8.5,0.55,8.0,0.7,0,0,66,3.3,3.2,0.69,1.0,0.0,1.0,1.0,0.5,0.5,1.92,0.0
105,Fizz,Fizz,640,106,317,52.0,335,22,4.6,32,2.05,175,8.0,0.7,6.0,0.8,0,0,58,3.0,3.1,0.658,0.0,1.0,0.0,0.0,1.0,0.0,1.72,0.0
3,Galio,Galio,600,126,410,40.0,340,24,4.7,32,2.05,150,8.0,0.8,9.5,0.7,0,0,59,3.5,1.5,0.625,0.0,0.0,1.0,1.0,1.0,0.0,1.72,0.0
41,Gangplank,Gangplank,630,114,280,60.0,345,31,4.7,32,2.05,125,6.0,0.6,8.0,0.7,0,0,64,4.2,3.2,0.658,0.0,0.0,1.0,2.0,1.0,0.0,1.89,0.0
86,Garen,Garen,690,98,0,0.0,340,38,4.2,32,1.55,175,8.0,0.5,0.0,0.0,0,0,69,4.5,3.65,0.625,0.0,0.0,1.0,1.0,0.5,0.5,2.09,0.0
150,Gnar,Gnar,540,79,100,0.0,335,32,3.7,30,1.3,175,4.5,1.25,0.0,0.0,0,0,60,3.2,6.0,0.625,2.0,1.0,0.0,2.0,0.5,0.5,1.78,0.0
79,Gragas,Gragas,640,115,400,47.0,330,38,5.0,32,2.05,125,5.5,0.5,6.0,0.8,0,0,64,3.5,2.05,0.675,1.0,0.0,0.0,0.0,0.5,0.5,2.04,0.0
104,Graves,Graves,625,106,325,40.0,340,33,4.6,32,2.05,425,8.0,0.7,8.0,0.7,0,0,68,4.0,3.0,0.475,0.0,1.0,0.0,1.0,0.5,0.5,1.925,0.0
887,Gwen,Gwen,600,110,330,40.0,340,33,4.9,32,2.05,150,9.0,0.9,7.5,0.7,0,0,63,3.0,2.5,0.69,0.0,1.0,0.0,0.0,0.5,0.5,1.9,0.0
120,Hecarim,Hecarim,625,106,280,40.0,345,32,5.45,32,2.05,175,7.0,0.75,7.0,0.8,0,0,66,3.7,2.5,0.67,0.0,0.0,1.0,0.0,0.5,0.5,1.905,0.0
74,Heimerdinger,Heimerdinger,558,101,385,20.0,340,19,4.2,30,1.3,550,7.0,0.55,8.0,0.8,0,0,56,2.7,1.36,0.658,1.0,0.0,0.0,0.0,1.0,0.0,1.538,0.0
910,Hwei,Hwei,580,109,480,30.0,330,21,4.7,30,1.3,550,5.5,0.55,7.5,0.75,0,0,54,3.3,2.5,0.69,0.0,0.0,0.0,0.0,1.0,0.0,1.6,0.0
420,Illaoi,Illaoi,656,115,350,50.0,350,35,5.0,32,2.05,125,9.5,0.8,7.5,0.75,0,0,65,5.0,2.5,0.625,0.0,1.0,0.0,0.0,0.5,0.5,1.996,0.0
39,Irelia,Irelia,630,115,350,50.0,335,36,4.7,30,2.05,200,3.5,0.85,8.0,0.8,0,0,65,3.5,2.5,0.656,1.0,1.0,1.0,0.0,0.5,0.5,1.95,0.0
427,Ivern,Ivern,630,99,450,60.0,330,27,4.7,30,1.3,475,7.0,0.85,6.0,0.75,0,0,50,3.0,3.4,0.644,1.0,1.0,1.0,0.0,1.0,0.0,1.77,0.0
40,Janna,Janna,570,90,360,50.0,325,28,4.5,30,1.3,550,5.5,0.55,11.5,0.4,0,0,47,2.5,3.0,0.625,0.0,0.0,2.0,0.0,1.0,0.0,1.73,0.0
59,JarvanIV,Jarvan IV,640,104,300,55.0,340,36,4.6,32,2.05,175,8.0,0.7,6.5,0.45,0,0,64,3.0,2.5,0.658,0.0,1.0,1.0,1.0,0.5,0.5,2.0,0.0
24,Jax,Jax,650,103,339,52.0,350,36,4.2,32,2.05,125,8.5,0.55,8.2,0.7,0,0,68,4.25,3.4,0.638,1.0,1.0,0.0,0.0,0.5,0.5,2.01,0.0
126,Jayce,Jayce,590,109,375,45.0,335,22,5.0,30,1.3,125,6.0,0.6,6.0,0.8,0,0,59,4.25,3.0,0.658,0.0,1.0,0.0,1.0,1.0,0.0,1.63,0.0
202,Jhin,Jhin,655,107,300,50.0,330,24,4.7,30,1.3,550,3.75,0.55,6.0,0.8,0,0,59,4.4,0.0,0.625,1.0,0.0,0.0,0.0,1.0,0.0,1.735,0.0
222,Jinx,Jinx,630,105,260,50.0,325,26,4.7,30,1.3,525,3.75,0.5,6.7,1.0,0,0,59,3.25,1.4,0.625,1.0,0.0,1.0,1.0,1.0,0.0,1.75,0.0
145,Kaisa,Kai'Sa,640,102,345,40.0,335,27,4.2,30,1.3,525,4.0,0.55,8.2,0.7,0,0,59,2.6,1.8,0.644,0.0,1.0,0.0,0.0,1.0,0.0,1.78,0.0
429,Kalista,Kalista,560,114,300,45.0,330,24,5.2,30,1.3,525,4.0,0.75,6.3,0.8,0,0,57,4.25,4.5,0.694,0.0,1.0,0.0,1.0,1.0,0.0,1.64,0.0
43,Karma,Karma,630,109,374,40.0,335,28,5.0,30,1.3,525,5.5,0.55,13.0,0.8,0,0,51,3.3,2.3,0.625,1.0,0.0,2.0,0.0,1.0,0.0,1.79,0.0
30,Karthus,Karthus,620,110,467,31.0,335,21,4.7,30,1.3,450,6.5,0.55,8.0,0.8,0,0,46,3.25,2.11,0.625,0.0,0.0,0.0,0.0,1.0,0.0,1.64,0.0
38,Kassadin,Kassadin,646,119,400,87.0,335,21,4.0,30,1.3,150,6.0,0.5,6.0,0.8,0,0,59,3.9,3.7,0.64,0.0,0.0,1.0,0.0,1.0,0.0,1.666,0.0
55,Katarina,Katarina,672,108,0,0.0,335,32,4.7,32,2.05,125,7.5,0.7,0.0,0.0,0,0,58,3.2,2.74,0.658,0.0,0.0,0.0,0.0,0.5,0.5,1.952,0.0
10,Kayle,Kayle,670,92,330,50.0,335,26,4.2,22,1.3,175,5.0,0.5,8.0,0.8,0,0,50,2.5,1.5,0.625,0.0,0.0,2.0,1.0,0.5,0.5,1.63,0.0
141,Kayn,Kayn,655,103,410,50.0,340,38,4.5,32,2.05,175,8.0,0.75,11.5,0.95,0,0,68,3.3,2.7,0.669,0.0,1.0,0.0,0.0,0.5,0.5,2.055,0.0
85,Kennen,Kennen,580,98,200,0.0,335,29,4.95,30,1.3,550,5.5,0.65,50.0,0.0,0,0,48,3.75,3.4,0.625,0.0,0.0,0.0,0.0,1.0,0.0,1.76,0.0
121,Khazix,Kha'Zix,643,99,327,40.0,350,32,4.2,32,2.05,125,7.5,0.75,7.59,0.5,0,0,60,3.1,2.7,0.668,0.0,1.0,1.0,1.0,0.5,0.5,1.923,0.0
203,Kindred,Kindred,595,104,300,35.0,325,29,4.7,30,1.3,500,7.0,0.55,7.0,0.4,0,0,65,3.25,3.5,0.625,0.0,0.0,2.0,1.0,1.0,0.0,1.775,0.0
240,Kled,Kled,410,84,100,0.0,345,35,5.2,28,2.05,125,6.0,0.75,0.0,0.0,0,0,65,3.5,3.5,0.625,0.0,1.0,1.0,0.0,0.5,0.5,1.67,0.0
96,KogMaw,Kog'Maw,635,99,325,40.0,330,24,4.45,30,1.3,500,3.75,0.55,8.75,0.7,0,0,61,3.1,2.65,0.665,0.0,0.0,2.0,0.0,1.0,0.0,1.715,0.0
897,KSante,K'Sante,625,120,320,60.0,330,36,5.2,30,2.1,150,9.5,1.0,7.0,1.0,0,0,64,3.5,2.5,0.688,1.0,3.0,2.0,0.0,0.5,0.5,1.945,0.0
7,Leblanc,LeBlanc,598,111,400,25.0,340,22,4.7,30,1.3,525,7.5,0.55,8.0,0.8,0,0,55,2.2,2.35,0.658,1.0,1.0,0.0,0.0,1.0,0.0,1.638,0.0
64,LeeSin,Lee Sin,645,108,200,0.0,345,36,4.5,32,2.05,125,7.5,0.7,50.0,0.0,0,0,66,3.7,3.0,0.651,0.0,1.0,2.0,0.0,0.5,0.5,2.005,0.0
89,Leona,Leona,646,101,302,40.0,335,43,4.8,32,2.05,125,8.5,0.85,6.0,0.8,0,0,60,3.0,2.9,0.625,2.0,1.0,2.0,1.0,0.5,0.5,2.146,0.0
876,Lillia,Lillia,605,105,410,50.0,330,22,4.5,32,1.55,325,2.5,0.55,11.5,0.95,0,0,61,3.1,2.7,0.625,0.0,0.0,0.0,1.0,1.0,0.0,1.685,0.0
127,Lissandra,Lissandra,620,110,475,30.0,325,22,4.9,30,1.3,550,7.0,0.55,8.0,0.4,0,0,55,2.7,1.5,0.656,2.0,0.0,1.0,0.0,1.0,0.0,1.66,0.0
236,Lucian,Lucian,641,100,320,43.0,335,28,4.2,30,1.3,500,3.75,0.65,7.0,0.8,0,0,60,2.9,3.3,0.638,0.0,1.0,0.0,0.0,1.0,0.0,1.801,0.0
117,Lulu,Lulu,565,92,350,55.0,330,26,4.6,30,1.3,550,6.0,0.6,11.0,0.6,0,0,47,2.6,2.25,0.625,0.0,0.0,2.0,0.0,1.0,0.0,1.685,0.0
99,Lux,Lux,580,99,480,23.5,330,21,5.2,30,1.3,550,5.5,0.55,7.0,0.8,0,0,54,3.3,3.0,0.669,0.0,0.0,0.0,2.0,1.0,0.0,1.6,0.0
54,Malphite,Malphite,665,104,280,60.0,335,40,4.95,28,2.05,125,7.0,0.55,7.3,0.55,0,0,62,4.0,3.4,0.736,0.0,0.0,0.0,0.0,0.5,0.5,2.025,0.0
90,Malzahar,Malzahar,580,101,375,28.0,335,18,4.7,30,1.3,500,6.0,0.6,8.0,0.8,0,0,55,3.0,1.5,0.625,0.0,0.0,0.0,1.0,1.0,0.0,1.54,0.0
57,Maokai,Maokai,665,109,375,43.0,335,35,5.2,32,2.05,125,5.0,0.75,6.0,0.6,0,0,64,3.3,2.125,0.8,2.0,1.0,0.0,1.0,0.5,0.5,2.005,0.0
11,MasterYi,Master Yi,655,105,251,42.0,355,33,4.2,32,2.05,175,7.5,0.65,7.25,0.45,0,0,65,2.8,2.5,0.679,0.0,0.0,1.0,1.0,0.5,0.5,1.955,0.0
800,Mel,Mel,630,93,480,28.0,330,21,5.2,30,1.3,550,6.0,0.55,9.0,0.9,0,0,54,3.3,2.5,0.625,1.0,0.0,0.0,2.0,1.0,0.0,1.65,0.0
902,Milio,Milio,560,88,365,43.0,330,26,4.6,30,1.3,525,5.0,0.5,11.5,0.4,0,0,48,3.2,3.0,0.625,0.0,0.0,3.0,2.0,1.0,0.0,1.68,0.0
21,MissFortune,Miss Fortune,640,103,300,40.0,325,25,4.0,30,1.3,550,3.75,0.65,8.0,0.8,0,0,55,2.4,3.0,0.656,0.0,0.0,0.0,1.0,1.0,0.0,1.74,0.0
62,MonkeyKing,Wukong,610,99,330,65.0,340,31,4.7,28,2.05,175,3.5,0.65,8.0,0.8,0,0,66,3.5,3.0,0.69,0.0,2.0,0.0,0.0,0.5,0.5,1.79,0.0
82,Mordekaiser,Mordekaiser,645,104,100,0.0,335,37,4.2,32,2.05,175,5.0,0.75,0.0,0.0,0,0,61,4.0,1.0,0.625,0.0,0.0,1.0,1.0,0.5,0.5,2.025,0.0
25,Morgana,Morgana,630,104,340,60.0,335,25,5.0,30,1.3,450,5.5,0.4,11.0,0.4,0,0,56,3.5,1.53,0.625,1.0,0.0,1.0,1.0,1.0,0.0,1.73,0.0
950,Naafiri,Naafiri,610,105,400,55.0,340,28,4.2,32,2.05,125,7.5,0.7,7.5,1.0,0,0,55,2.0,2.1,0.663,0.0,3.0,2.0,1.0,1.0,0.0,1.81,0.0
267,Nami,Nami,560,88,365,43.0,335,29,5.2,30,1.3,550,5.5,0.55,11.5,0.4,0,0,54,3.1,2.61,0.644,1.0,0.0,1.0,1.0,1.0,0.0,1.74,0.0
75,Nasus,Nasus,631,104,326,62.0,350,34,4.7,32,2.05,125,9.0,0.9,7.45,0.5,0,0,67,4.0,3.48,0.638,0.0,0.0,1.0,0.0,0.5,0.5,1.951,0.0
111,Nautilus,Nautilus,646,100,400,47.0,325,39,4.95,32,2.05,175,8.5,0.55,8.65,0.5,0,0,61,3.3,1.0,0.706,1.0,0.0,1.0,0.0,0.5,0.5,2.066,0.0
518,Neeko,Neeko,610,104,450,30.0,340,21,5.2,30,1.3,550,7.5,0.75,7.0,0.7,0,0,48,2.5,3.5,0.625,2.0,1.0,0.0,0.0,1.0,0.0,1.63,0.0
76,Nidalee,Nidalee,610,109,295,45.0,335,32,5.0,30,1.45,525,6.0,0.6,6.0,0.8,0,0,58,3.5,3.22,0.638,0.0,0.0,1.0,1.0,0.5,0.5,1.85,0.0
895,Nilah,Nilah,570,101,350,35.0,340,27,4.5,32,2.05,225,6.0,0.9,8.2,0.7,0,0,60,2.0,2.25,0.697,0.0,1.0,0.0,0.0,1.0,0.0,1.75,0.0
56,Nocturne,Nocturne,655,109,275,35.0,345,38,4.2,32,1.55,125,7.0,0.75,7.0,0.45,0,0,62,2.6,2.7,0.721,0.0,0.0,0.0,0.0,0.5,0.5,2.055,0.0
20,Nunu,Nunu & Willump,610,90,280,42.0,345,29,4.2,32,2.05,125,5.0,0.8,7.0,0.5,0,0,61,3.0,2.25,0.625,1.0,0.0,1.0,1.0,1.0,0.0,1.83,0.0
2,Olaf,Olaf,645,119,316,50.0,350,35,4.2,32,2.05,125,6.5,0.6,7.5,0.6,0,0,68,4.7,2.7,0.694,0.0,0.0,2.0,0.0,0.5,0.5,1.985,0.0
61,Orianna,Orianna,585,110,418,25.0,325,20,4.2,26,1.3,525,7.0,0.55,8.0,0.8,0,0,44,2.6,3.5,0.658,0.0,0.0,1.0,1.0,1.0,0.0,1.505,0.0
516,Ornn,Ornn,660,109,341,65.0,335,33,5.2,32,2.05,175,9.0,0.9,8.0,0.6,0,0,69,3.5,2.0,0.625,0.0,0.0,0.0,0.0,0.5,0.5,1.96,0.0
80,Pantheon,Pantheon,650,109,317,31.0,345,40,4.95,28,2.05,175,6.0,0.65,7.35,0.45,0,0,64,3.3,2.95,0.658,1.0,2.0,1.0,0.0,0.5,0.5,2.01,0.0
78,Poppy,Poppy,610,110,280,40.0,345,35,5.0,32,2.05,125,8.0,0.8,7.0,0.7,0,0,60,4.0,2.5,0.658,1.0,2.0,1.0,1.0,0.5,0.5,1.95,0.0
555,Pyke,Pyke,670,110,415,50.0,330,43,4.7,32,2.05,150,7.0,0.5,8.0,1.0,0,0,62,2.0,2.5,0.667,1.0,1.0,1.0,0.0,0.5,0.5,2.17,0.0
246,Qiyana,Qiyana,590,124,375,60.0,335,31,4.5,32,2.05,150,8.0,0.9,8.0,0.7,0,0,64,3.1,2.1,0.688,1.0,2.0,0.0,0.0,1.0,0.0,1.85,0.0
133,Quinn,Quinn,565,107,269,35.0,330,28,4.7,30,1.3,525,5.5,0.55,7.0,0.4,0,0,59,2.7,3.1,0.668,0.0,1.0,0.0,2.0,1.0,0.0,1.725,0.0
497,Rakan,Rakan,610,99,315,50.0,335,30,4.9,32,2.05,300,5.0,0.5,8.75,0.5,0,0,62,3.5,3.0,0.635,0.0,1.0,2.0,0.0,1.0,0.0,1.85,0.0
33,Rammus,Rammus,675,100,310,33.0,335,35,4.5,32,2.05,125,8.0,0.55,7.85,0.5,0,0,65,2.75,2.215,0.7,0.0,0.0,0.0,1.0,0.5,0.5,2.015,0.0
421,RekSai,Rek'Sai,600,99,100,0.0,340,35,4.5,32,2.05,175,2.5,0.5,0.0,0.0,0,0,62,3.0,2.0,0.667,0.0,0.0,1.0,0.0,0.5,0.5,1.94,0.0
526,Rell,Rell,620,104,320,40.0,315,30,4.0,28,1.8,175,7.5,0.85,7.0,0.7,0,0,55,3.0,2.0,0.625,1.0,0.0,2.0,0.0,0.5,0.5,1.78,0.0
888,Renata,Renata Glasc,545,94,350,50.0,330,27,4.7,30,1.3,550,5.5,0.55,11.5,0.5,0,0,49,3.0,2.11,0.625,1.0,0.0,1.0,0.0,1.0,0.0,1.685,0.0
58,Renekton,Renekton,660,111,100,0.0,345,35,5.2,28,2.05,125,8.0,0.75,0.0,0.0,0,0,69,4.15,2.75,0.665,1.0,1.0,3.0,0.0,0.5,0.5,1.92,0.0
107,Rengar,Rengar,590,104,4,0.0,345,34,4.2,32,2.05,125,6.0,0.5,0.0,0.0,0,0,68,3.0,3.0,0.667,1.0,1.0,1.0,0.0,0.5,0.5,1.91,0.0
92,Riven,Riven,630,100,0,0.0,340,33,4.4,32,2.05,125,8.5,0.5,0.0,0.0,0,0,64,3.0,3.5,0.625,1.0,0.0,0.0,0.0,0.5,0.5,1.93,0.0
68,Rumble,Rumble,655,105,150,0.0,345,36,4.7,28,1.55,125,7.0,0.6,0.0,0.0,0,0,64,3.2,1.85,0.644,0.0,0.0,1.0,3.0,0.5,0.5,1.935,0.0
13,Ryze,Ryze,645,124,300,70.0,340,22,4.2,32,1.3,550,8.0,0.8,8.0,1.0,0,0,58,3.0,2.11,0.658,1.0,0.0,0.0,0.0,1.0,0.0,1.725,0.0
360,Samira,Samira,630,108,349,38.0,335,26,4.7,30,1.3,500,3.25,0.55,8.2,0.7,0,0,57,3.0,3.3,0.658,0.0,1.0,0.0,0.0,1.0,0.0,1.75,0.0
113,Sejuani,Sejuani,630,114,400,40.0,340,34,5.45,32,2.05,150,8.5,1.0,7.0,0.7,0,0,66,4.0,3.5,0.688,2.0,0.0,0.0,0.0,0.5,0.5,1.95,0.0
235,Senna,Senna,530,89,350,45.0,330,25,4.0,30,1.3,600,3.5,0.55,11.5,0.7,0,0,50,0.0,2.6,0.625,1.0,0.0,2.0,1.0,1.0,0.0,1.63,0.0
147,Seraphine,Seraphine,570,95,360,40.0,330,26,4.2,30,1.3,525,6.5,0.6,11.5,0.95,0,0,50,3.0,2.0,0.669,0.0,0.0,1.0,1.0,1.0,0.0,1.69,0.0
875,Sett,Sett,670,114,0,0.0,340,33,4.7,28,2.05,125,7.0,0.5,0.0,0.0,0,0,60,4.0,1.75,0.625,1.0,0.0,2.0,1.0,0.5,0.5,1.89,0.0
35,Shaco,Shaco,630,99,297,40.0,345,30,4.0,32,2.05,125,8.5,0.55,6.0,0.35,0,0,63,3.0,3.0,0.694,0.0,0.0,1.0,0.0,1.0,0.0,1.87,0.0
98,Shen,Shen,610,99,400,0.0,340,34,4.2,32,2.05,125,8.5,0.75,50.0,0.0,0,0,64,3.0,3.0,0.751,0.0,1.0,2.0,0.0,0.5,0.5,1.93,0.0
102,Shyvana,Shyvana,665,104,100,0.0,350,38,4.55,32,1.5,125,8.5,0.8,0.0,0.0,0,0,66,3.0,2.5,0.658,0.0,0.0,1.0,0.0,0.5,0.5,2.065,0.0
27,Singed,Singed,650,96,330,45.0,345,34,4.2,32,2.05,125,9.5,0.55,7.5,0.55,0,0,63,3.4,1.9,0.7,1.0,0.0,0.0,0.0,0.5,0.5,1.97,0.0
14,Sion,Sion,655,87,400,52.0,345,36,4.2,32,2.05,175,9.0,0.8,8.0,0.6,0,0,68,4.0,1.3,0.679,1.0,0.0,1.0,1.0,0.5,0.5,2.015,0.0
15,Sivir,Sivir,600,104,340,45.0,335,30,4.45,30,1.3,500,3.25,0.55,6.0,0.8,0,0,60,2.5,2.0,0.625,0.0,0.0,1.0,0.0,0.5,0.5,1.8,0.0
72,Skarner,Skarner,630,110,320,40.0,335,33,4.5,32,2.05,150,7.5,0.75,7.2,0.75,0,0,63,3.0,2.0,0.625,1.0,0.0,1.0,0.0,0.5,0.5,1.93,0.0
901,Smolder,Smolder,575,100,300,40.0,330,24,4.7,30,1.3,550,3.75,0.6,8.5,0.7,0,0,60,2.3,4.0,0.638,0.0,0.0,1.0,0.0,1.0,0.0,1.655,0.0
37,Sona,Sona,550,91,340,45.0,325,26,4.2,30,1.3,550,5.5,0.55,11.5,0.4,0,0,49,3.0,2.3,0.644,1.0,0.0,1.0,3.0,1.0,0.0,1.67,0.0
16,Soraka,Soraka,605,88,425,40.0,325,32,5.0,30,1.3,550,2.5,0.5,11.5,0.4,0,0,50,3.0,2.14,0.625,1.0,0.0,3.0,1.0,0.5,0.5,1.845,0.0
50,Swain,Swain,595,99,400,29.0,330,25,4.7,31,1.55,525,3.0,0.5,10.0,0.8,0,0,58,2.7,2.11,0.625,1.0,0.0,1.0,0.0,1.0,0.0,1.715,0.0
